code,name
000001,平安银行
000002,万  科Ａ
000004,国华网安
000005,ST星源
000006,深振业Ａ
000007,*ST全新
000008,神州高铁
000009,中国宝安
000010,美丽生态
000011,深物业A
000012,南  玻Ａ
000014,沙河股份
000016,深康佳Ａ
000017,深中华A
000019,深粮控股
000020,深华发Ａ
000021,深科技
000023,ST深天
000025,特  力Ａ
000026,飞亚达
000027,深圳能源
000028,国药一致
000029,深深房Ａ
000030,富奥股份
000031,大悦城
000032,深桑达Ａ
000034,神州数码
000035,中国天楹
000036,华联控股
000037,深南电A
000039,中集集团
000040,东旭蓝天
000042,中洲控股
000045,深纺织Ａ
000046,*ST泛海
000048,京基智农
000049,德赛电池
000050,深天马Ａ
000055,方大集团
000056,皇庭国际
000058,深 赛 格
000059,华锦股份
000060,中金岭南
000061,农 产 品
000062,深圳华强
000063,中兴通讯
000065,北方国际
000066,中国长城
000068,华控赛格
000069,华侨城Ａ
000070,特发信息
000078,海王生物
000088,盐 田 港
000089,深圳机场
000090,天健集团
000096,广聚能源
000099,中信海直
000100,TCL科技
000151,中成股份
000153,丰原药业
000155,川能动力
000156,华数传媒
000157,中联重科
000158,常山北明
000159,国际实业
000166,申万宏源
000301,东方盛虹
000333,美的集团
000338,潍柴动力
000400,许继电气
000401,冀东水泥
000402,金 融 街
000403,派林生物
000404,长虹华意
000407,胜利股份
000408,藏格矿业
000409,云鼎科技
000410,沈阳机床
000411,英特集团
000413,东旭光电
000415,渤海租赁
000416,*ST民控
000417,合肥百货
000419,通程控股
000420,吉林化纤
000421,南京公用
000422,湖北宜化
000423,东阿阿胶
000425,徐工机械
000426,兴业银锡
000428,华天酒店
000429,粤高速Ａ
000430,张家界
000488,晨鸣纸业
000498,山东路桥
000501,武商集团
000503,国新健康
000504,南华生物
000505,京粮控股
000506,中润资源
000507,珠海港
000509,华塑控股
000510,新金路
000513,丽珠集团
000514,渝 开 发
000516,国际医学
000517,荣安地产
000518,四环生物
000519,中兵红箭
000520,凤凰航运
000521,长虹美菱
000523,广州浪奇
000524,岭南控股
000525,ST红太阳
000526,学大教育
000528,柳    工
000529,广弘控股
000530,冰山冷热
000531,穗恒运Ａ
000532,华金资本
000533,顺钠股份
000534,万泽股份
000536,华映科技
000537,广宇发展
000538,云南白药
000539,粤电力Ａ
000541,佛山照明
000543,皖能电力
000544,中原环保
000545,金浦钛业
000546,ST金圆
000547,航天发展
000548,湖南投资
000550,江铃汽车
000551,创元科技
000552,甘肃能化
000553,安道麦A
000554,泰山石油
000555,神州信息
000557,西部创业
000558,莱茵体育
000559,万向钱潮
000560,我爱我家
000561,烽火电子
000563,陕国投Ａ
000564,ST大集
000565,渝三峡Ａ
000566,海南海药
000567,海德股份